Entity,Code,Date,Retail & Recreation,Grocery & Pharmacy,Parks,Transit Stations,Workplaces,Residential
United Kingdom,GBR,2020-02-17,-3,-4,-13,-7,-7,1.667
United Kingdom,GBR,2020-02-18,-0.5,-3.25,-4.75,-6,-8.75,1.75
United Kingdom,GBR,2020-02-19,0.8,-3,-2.2,-5.6,-9.8,2
United Kingdom,GBR,2020-02-20,1.5,-2.833,-1.167,-5.5,-10.5,2.167
United Kingdom,GBR,2020-02-21,2,-2.571,0.429,-5.143,-11.143,2.286
United Kingdom,GBR,2020-02-22,3.143,-1.857,4.429,-3.714,-10.857,2.143
United Kingdom,GBR,2020-02-23,4,-1.286,7.714,-2.286,-10.571,2
United Kingdom,GBR,2020-02-24,2.143,-1.571,3,-2.286,-8.857,1.857
United Kingdom,GBR,2020-02-25,1,-0.857,0.571,-1.714,-6.714,1.571
United Kingdom,GBR,2020-02-26,0.286,-0.571,0.286,-1.286,-4.571,1.143
United Kingdom,GBR,2020-02-27,-0.143,-0.143,0.857,-0.571,-2.571,0.714
United Kingdom,GBR,2020-02-28,-0.714,0.143,-2.429,-0.143,-0.571,0.429
United Kingdom,GBR,2020-02-29,0,0.571,-3.429,-0.143,-0.286,0.286
United Kingdom,GBR,2020-03-01,1.143,1.143,-0.714,0.143,0,0.143
United Kingdom,GBR,2020-03-02,2.143,1.857,2.571,0.429,0.429,0
United Kingdom,GBR,2020-03-03,2.571,1.714,3.714,0.143,0.429,0
United Kingdom,GBR,2020-03-04,2.714,2.143,3.143,0,0.429,0.143
United Kingdom,GBR,2020-03-05,2.286,2.286,2.143,-0.429,0.429,0.286
United Kingdom,GBR,2020-03-06,2.857,3,7.143,-0.286,0.714,0.143
United Kingdom,GBR,2020-03-07,2.714,3.143,10.143,-0.143,0.857,0.143
United Kingdom,GBR,2020-03-08,2.286,3.143,10.286,-0.571,0.857,0.143
United Kingdom,GBR,2020-03-09,1.714,3.143,8.857,-1,0.714,0.286
United Kingdom,GBR,2020-03-10,1.143,3.429,7.857,-1.429,0.571,0.429
United Kingdom,GBR,2020-03-11,0.857,3.714,9,-2,0.429,0.429
United Kingdom,GBR,2020-03-12,0.857,5,9.571,-2.714,0.286,0.571
United Kingdom,GBR,2020-03-13,-0.143,5.714,8.143,-4.143,-0.429,0.857
United Kingdom,GBR,2020-03-14,-1.571,6.429,7.286,-6.143,-0.857,1.143
United Kingdom,GBR,2020-03-15,-3.714,7.143,5,-8.714,-1.571,1.571
United Kingdom,GBR,2020-03-16,-4.143,9.429,8.571,-10.571,-2.857,2
United Kingdom,GBR,2020-03-17,-6,11.714,8.857,-13.857,-5.143,2.857
United Kingdom,GBR,2020-03-18,-9,14.143,7,-17.857,-8.429,4.143
United Kingdom,GBR,2020-03-19,-11.857,16,6.571,-22,-12.143,5.429
United Kingdom,GBR,2020-03-20,-15.571,15.857,5.714,-26.429,-15.714,7
United Kingdom,GBR,2020-03-21,-21.286,15,5.857,-30.857,-19,8.286
United Kingdom,GBR,2020-03-22,-27.714,12,8.857,-35.143,-22.714,9.286
United Kingdom,GBR,2020-03-23,-33.714,8,4.857,-40.429,-27.857,11.143
United Kingdom,GBR,2020-03-24,-41.714,1.571,2,-45.714,-33.857,13.571
United Kingdom,GBR,2020-03-25,-49.143,-5.286,0.714,-50.571,-39.714,15.857
United Kingdom,GBR,2020-03-26,-56.714,-12.714,-1.143,-55.286,-45.286,18.143
United Kingdom,GBR,2020-03-27,-63.571,-18.286,-5.714,-59.714,-50.571,20.286
United Kingdom,GBR,2020-03-28,-68.286,-24,-13.714,-63.714,-55.143,21.571
United Kingdom,GBR,2020-03-29,-72.429,-28.571,-24,-67.857,-58.714,22.429
United Kingdom,GBR,2020-03-30,-76.571,-32,-28.857,-70.714,-62.143,23.857
United Kingdom,GBR,2020-03-31,-77,-32.857,-29.857,-71.857,-63.857,24.286
United Kingdom,GBR,2020-04-01,-77.286,-33.714,-32.286,-72.571,-64.571,24.571
United Kingdom,GBR,2020-04-02,-77.429,-34.286,-34.143,-73,-65.143,24.857
United Kingdom,GBR,2020-04-03,-77.429,-34.429,-34,-73.143,-65.571,25
United Kingdom,GBR,2020-04-04,-77.143,-34,-31.714,-72.857,-65.571,24.857
United Kingdom,GBR,2020-04-05,-76.714,-33.286,-28.429,-72.143,-65.429,24.857
United Kingdom,GBR,2020-04-06,-76.571,-33.143,-26.571,-72,-65.571,24.857
United Kingdom,GBR,2020-04-07,-76.429,-33,-24.571,-71.571,-65.571,24.857
United Kingdom,GBR,2020-04-08,-76.143,-32.286,-22.429,-71.143,-65.714,24.714
United Kingdom,GBR,2020-04-09,-75.571,-30.571,-20.857,-70.714,-65.714,24.429
United Kingdom,GBR,2020-04-10,-75.857,-31,-19.857,-71.143,-67.286,24.857
United Kingdom,GBR,2020-04-11,-75.857,-30.429,-19.714,-70.857,-67.286,24.857
United Kingdom,GBR,2020-04-12,-76.857,-33.571,-20.286,-71,-67.857,25
United Kingdom,GBR,2020-04-13,-77.571,-35,-20.429,-71.857,-69.714,25.571
United Kingdom,GBR,2020-04-14,-77.286,-34.571,-20.857,-71.857,-69.714,25.571
United Kingdom,GBR,2020-04-15,-77.143,-34.571,-19.714,-71.714,-69.571,25.571
United Kingdom,GBR,2020-04-16,-77.429,-35.571,-18.857,-71.714,-69.429,25.714
United Kingdom,GBR,2020-04-17,-77,-35.143,-21,-71.143,-67.714,25.286
United Kingdom,GBR,2020-04-18,-77,-35.857,-22.429,-71.286,-67.286,25.286
United Kingdom,GBR,2020-04-19,-75.714,-32.571,-19.429,-70.571,-66,25
United Kingdom,GBR,2020-04-20,-74.714,-31,-16.714,-69.143,-63.714,24.143
United Kingdom,GBR,2020-04-21,-74.857,-31.286,-15,-68.857,-63.286,24
United Kingdom,GBR,2020-04-22,-74.857,-31.429,-14,-68.571,-62.857,24
United Kingdom,GBR,2020-04-23,-74.714,-31.429,-12.143,-68.143,-62.429,23.857
United Kingdom,GBR,2020-04-24,-74.429,-30.857,-8,-67.429,-62,23.571
United Kingdom,GBR,2020-04-25,-74,-30.143,-4.571,-66.571,-61.571,23.429
United Kingdom,GBR,2020-04-26,-73.714,-29.714,-4.286,-66.286,-61.429,23.429
United Kingdom,GBR,2020-04-27,-73.429,-29.571,-4.429,-66,-61.143,23.429
United Kingdom,GBR,2020-04-28,-73.714,-30.286,-10.714,-66.571,-61,23.286
United Kingdom,GBR,2020-04-29,-73.857,-30.571,-15.286,-66.857,-61,23.286
United Kingdom,GBR,2020-04-30,-74.143,-30.714,-20.571,-67.143,-61,23.286
United Kingdom,GBR,2020-05-01,-74.286,-30.857,-23.143,-67.286,-60.857,23.286
United Kingdom,GBR,2020-05-02,-74.286,-30.571,-22.429,-67,-60.571,23.143
United Kingdom,GBR,2020-05-03,-74.429,-30.571,-24,-67,-60.286,23.143
United Kingdom,GBR,2020-05-04,-74.429,-30.286,-23,-66.714,-60.143,23
